# zgw	ngw1	ngw2	ngw3	ngw4	ngw5	ngw6	ngw7	ngw8	ngw9	ngw10	ngw11	ngw12	ngw13
2.15215215	0.00000000	0.00000000	0.00000016	0.00003485	0.00198918	0.04141255	0.36448335	1.42129469	2.40609517	1.63463289	0.38451369	0.02429644	0.00026358
2.15715716	0.00000000	0.00000000	0.00000014	0.00003116	0.00180967	0.03838593	0.34495914	1.37722566	2.39482193	1.67760580	0.40885955	0.02694269	0.00030777
2.16216216	0.00000000	0.00000000	0.00000012	0.00002786	0.00164578	0.03556403	0.32628768	1.33354149	2.38146935	1.71986245	0.43419005	0.02983111	0.00035871
2.16716717	0.00000000	0.00000000	0.00000011	0.00002491	0.00149621	0.03293449	0.30844605	1.29030187	2.36609142	1.76130937	0.46050445	0.03297875	0.00041730
2.17217217	0.00000000	0.00000000	0.00000010	0.00002226	0.00135978	0.03048554	0.29141085	1.24756271	2.34874667	1.80185440	0.48779896	0.03640334	0.00048457
2.17717718	0.00000000	0.00000000	0.00000008	0.00001989	0.00123536	0.02820602	0.27515828	1.20537607	2.32949783	1.84140706	0.51606659	0.04012325	0.00056165
2.18218218	0.00000000	0.00000000	0.00000007	0.00001776	0.00112196	0.02608536	0.25966429	1.16379023	2.30841151	1.87987892	0.54529708	0.04415753	0.00064983
2.18718719	0.00000000	0.00000000	0.00000007	0.00001586	0.00101863	0.02411352	0.24490464	1.12284968	2.28555788	1.91718392	0.57547679	0.04852581	0.00075050
2.19219219	0.00000000	0.00000000	0.00000006	0.00001416	0.00092451	0.02228103	0.23085499	1.08259517	2.26101029	1.95323872	0.60658866	0.05324832	0.00086522
2.19719720	0.00000000	0.00000000	0.00000005	0.00001264	0.00083882	0.02057892	0.21749102	1.04306379	2.23484494	1.98796303	0.63861211	0.05834580	0.00099573
2.20220220	0.00000000	0.00000000	0.00000004	0.00001128	0.00076083	0.01899874	0.20478848	1.00428898	2.20714054	2.02127992	0.67152304	0.06383951	0.00114393
2.20720721	0.00000000	0.00000000	0.00000004	0.00001007	0.00068988	0.01753248	0.19272324	0.96630068	2.17797793	2.05311609	0.70529380	0.06975109	0.00131190
2.21221221	0.00000000	0.00000000	0.00000003	0.00000898	0.00062534	0.01617262	0.18127141	0.92912536	2.14743976	2.08340215	0.73989314	0.07610261	0.00150197
2.21721722	0.00000000	0.00000000	0.00000003	0.00000801	0.00056667	0.01491207	0.17040936	0.89278615	2.11561011	2.11207289	0.77528629	0.08291640	0.00171665
2.22222222	0.00000000	0.00000000	0.00000003	0.00000714	0.00051335	0.01374413	0.16011376	0.85730293	2.08257420	2.13906748	0.81143492	0.09021506	0.00195870
2.22722723	0.00000000	0.00000000	0.00000002	0.00000637	0.00046490	0.01266254	0.15036169	0.82269246	2.04841800	2.16432971	0.84829722	0.09802133	0.00223116
2.23223223	0.00000000	0.00000000	0.00000002	0.00000568	0.00042090	0.01166138	0.14113062	0.78896850	2.01322796	2.18780816	0.88582799	0.10635802	0.00253730
2.23723724	0.00000000	0.00000000	0.00000002	0.00000506	0.00038095	0.01073511	0.13239846	0.75614191	1.97709067	2.20945635	0.92397864	0.11524793	0.00288071
2.24224224	0.00000000	0.00000000	0.00000002	0.00000451	0.00034469	0.00987854	0.12414361	0.72422080	1.94009252	2.22923293	0.96269739	0.12471377	0.00326527
2.24724725	0.00000000	0.00000000	0.00000001	0.00000401	0.00031180	0.00908677	0.11634500	0.69321067	1.90231950	2.24710171	1.00192932	0.13477802	0.00369520
2.25225225	0.00000000	0.00000000	0.00000001	0.00000358	0.00028196	0.00835525	0.10898208	0.66311451	1.86385683	2.26303183	1.04161651	0.14546284	0.00417505
2.25725726	0.00000000	0.00000000	0.00000001	0.00000318	0.00025491	0.00767969	0.10203485	0.63393299	1.82478876	2.27699776	1.08169823	0.15679000	0.00470972
2.26226226	0.00000000	0.00000000	0.00000001	0.00000283	0.00023039	0.00705609	0.09548389	0.60566454	1.78519828	2.28897939	1.12211108	0.16878072	0.00530451
2.26726727	0.00000000	0.00000000	0.00000001	0.00000252	0.00020817	0.00648071	0.08931037	0.57830553	1.74516691	2.29896202	1.16278917	0.18145556	0.00596510
2.27227227	0.00000000	0.00000000	0.00000001	0.00000225	0.00018804	0.00595005	0.08349603	0.55185039	1.70477447	2.30693632	1.20366431	0.19483435	0.00669759
2.27727728	0.00000000	0.00000000	0.00000001	0.00000200	0.00016981	0.00546085	0.07802325	0.52629174	1.66409891	2.31289836	1.24466627	0.20893599	0.00750849
2.28228228	0.00000000	0.00000000	0.00000001	0.00000178	0.00015331	0.00501005	0.07287497	0.50162054	1.62321607	2.31684950	1.28572295	0.22377840	0.00840479
2.28728729	0.00000000	0.00000000	0.00000000	0.00000158	0.00013838	0.00459482	0.06803477	0.47782620	1.58219955	2.31879635	1.32676063	0.23937835	0.00939391
2.29229229	0.00000000	0.00000000	0.00000000	0.00000141	0.00012487	0.00421252	0.06348681	0.45489675	1.54112058	2.31875061	1.36770423	0.25575137	0.01048375
2.29729730	0.00000000	0.00000000	0.00000000	0.00000125	0.00011265	0.00386067	0.05921588	0.43281891	1.50004781	2.31672903	1.40847755	0.27291159	0.01168271
2.30230230	0.00000000	0.00000000	0.00000000	0.00000111	0.00010160	0.00353698	0.05520734	0.41157825	1.45904729	2.31275319	1.44900354	0.29087165	0.01299967
2.30730731	0.00000000	0.00000000	0.00000000	0.00000099	0.00009161	0.00323932	0.05144715	0.39115931	1.41818228	2.30684941	1.48920455	0.30964256	0.01444403
2.31231231	0.00000000	0.00000000	0.00000000	0.00000088	0.00008258	0.00296570	0.04792185	0.37154568	1.37751322	2.29904852	1.52900265	0.32923358	0.01602572
2.31731732	0.00000000	0.00000000	0.00000000	0.00000078	0.00007442	0.00271428	0.04461854	0.35272015	1.33709765	2.28938569	1.56831984	0.34965214	0.01775516
2.32232232	0.00000000	0.00000000	0.00000000	0.00000069	0.00006706	0.00248335	0.04152490	0.33466481	1.29699012	2.27790025	1.60707836	0.37090365	0.01964333
2.32732733	0.00000000	0.00000000	0.00000000	0.00000062	0.00006040	0.00227132	0.03862915	0.31736111	1.25724222	2.26463542	1.64520100	0.39299151	0.02170174
2.33233233	0.00000000	0.00000000	0.00000000	0.00000055	0.00005440	0.00207671	0.03592004	0.30079002	1.21790246	2.24963815	1.68261132	0.41591689	0.02394241
2.33733734	0.00000000	0.00000000	0.00000000	0.00000049	0.00004898	0.00189817	0.03338684	0.28493208	1.17901635	2.23295880	1.71923395	0.43967871	0.02637790
2.34234234	0.00000000	0.00000000	0.00000000	0.00000043	0.00004409	0.00173443	0.03101934	0.26976746	1.14062634	2.21465096	1.75499487	0.46427355	0.02902129
2.34734735	0.00000000	0.00000000	0.00000000	0.00000038	0.00003968	0.00158431	0.02880780	0.25527614	1.10277186	2.19477118	1.78982165	0.48969554	0.03188618
2.35235235	0.00000000	0.00000000	0.00000000	0.00000034	0.00003570	0.00144673	0.02674299	0.24143786	1.06548931	2.17337870	1.82364375	0.51593629	0.03498667
2.35735736	0.00000000	0.00000000	0.00000000	0.00000030	0.00003212	0.00132069	0.02481611	0.22823229	1.02881214	2.15053518	1.85639270	0.54298487	0.03833734
2.36236236	0.00000000	0.00000000	0.00000000	0.00000027	0.00002889	0.00120527	0.02301882	0.21563906	0.99277086	2.12630447	1.88800243	0.57082772	0.04195324
2.36736737	0.00000000	0.00000000	0.00000000	0.00000024	0.00002597	0.00109960	0.02134321	0.20363781	0.95739311	2.10075232	1.91840940	0.59944862	0.04584986
2.37237237	0.00000000	0.00000000	0.00000000	0.00000021	0.00002335	0.00100289	0.01978179	0.19220827	0.92270369	2.07394612	1.94755291	0.62882865	0.05004313
2.37737738	0.00000000	0.00000000	0.00000000	0.00000019	0.00002099	0.00091442	0.01832745	0.18133029	0.88872468	2.04595462	1.97537524	0.65894619	0.05454934
2.38238238	0.00000000	0.00000000	0.00000000	0.00000017	0.00001886	0.00083351	0.01697348	0.17098393	0.85547546	2.01684771	2.00182188	0.68977689	0.05938517
2.38738739	0.00000000	0.00000000	0.00000000	0.00000015	0.00001695	0.00075954	0.01571353	0.16114944	0.82297284	1.98669614	2.02684168	0.72129369	0.06456758
