0.16683	2.06090	1.03047	0.23002	-0.02222 0.050347
0.29017	2.04604	1.06699	0.19540	-0.02155 0.054240
0.38614	2.05436	1.17363	0.21052	-0.01588 0.052509
0.47079	2.05082	1.23340	0.20326	 0.00339 0.046509
0.56699	2.03032	1.27510	0.24602	 0.00196 0.047097
0.65326	2.06143	1.28574	0.25726	-0.00653 0.044087
0.74359	2.02869	1.39434	0.29531	-0.00996 0.048069
0.83446	2.06333	1.49170	0.31831	-0.01318 0.056828
0.93155	2.04186	1.52334	0.31791	-0.00929 0.053892
1.05956	2.04188	1.54639	0.38352	-0.02095 0.058230
1.20100	2.04083	1.68682	0.49834	-0.00782 0.071321
1.44052	2.04726	2.03066	0.59711	-0.00108 0.097189
1.86773	2.04570	2.57812	0.72112	-0.04686 0.148021
